id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
mo-v73-stockton-hawker-point-coordinate-rescue,MO,Hawker Point Campground,Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Retrieve RIDB/API/devtools facility coordinate; Recreation.gov page was blocked/blank in worker pass.,,v23.1.73,
mo-v73-stockton-orleans-trail-coordinate-rescue,MO,Orleans Trail Campground,Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Rescue coordinate via RIDB/API or official campground map; consider north/south component refinement later.,,v23.1.73,
mo-v73-stockton-ruark-bluff-east-coordinate-rescue,MO,Ruark Bluff East Campground,Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Rescue coordinate via RIDB/API or campground map; keep separate from Ruark Bluff West/day-use.,,v23.1.73,
mo-v73-stockton-ruark-bluff-west-coordinate-rescue,MO,Ruark Bluff West Campground,Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.",Rescue coordinate via RIDB/API or campground map; keep separate from Ruark Bluff East/day-use.,,v23.1.73,
mo-v73-table-rock-usace-ridb-bulk-extraction,MO,Table Rock USACE campground components,Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.72 worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Official proof exists, but the worker did not recover a safe campground/camping-area coordinate or geometry.","Bulk extract Aunts Creek, Baxter, Big M, Campbell Point, Cape Fair, Indian Point, Mill Point/name-resolution, Cricket Creek, Eagle Rock, Old Highway 86, Viola from RIDB/Recreation.gov/USACE map.",,v23.1.73,
mo-lead-nps-ozar-primitive-campgrounds-coordinate-extraction,MO,OZAR primitive campground system,Upper Current / Jacks Fork / Middle Current,coordinate_rescue,Rustic / Primitive or Boat / Backpack by access,coordinate_rescue,High,NPS,NO HONEST ACTIVE COORDINATE ACCEPTED,Big miss category; do not force fake dots,Add lead; extract official coordinates,,v23.1.70,
mo-lead-lake-wappapello-sp-campground-backcountry,MO,Lake Wappapello State Park campground/backcountry camping,Wayne / Williamsville,coordinate_rescue,Modern Campgrounds + possible Boat/Backpack/backcountry,coordinate_rescue,High,Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Component extraction needed; do not use lake center,Add lead,,v23.1.70,
ar_ouachita_brown_creek_fr805_lead,AR,Brown Creek Road / FR805 dispersed site,Ouachita NF,boondocking_social_app_lead,Boondocking / Dispersed,one_report_coordinate_lead,Medium,Public app + USFS rule check,Public app coordinate / one report only,One public-facing report at coordinate; no independent same-spot confirmation yet.,Preserve as lead; seek 2+ independent same-spot reports and Ouachita MVUM/legal-road confirmation.,,v23.1.82,Do not active-add from one public report.
ar_ouachita_fr132_grindstone_mountain_lead,AR,FR132 Grindstone Mountain dispersed area,Ouachita NF,boondocking_social_app_lead,Boondocking / Dispersed,one_report_coordinate_lead,Medium,Public app + USFS rule check,Public app coordinate / one report only,One public-facing report at coordinate; no independent same-spot confirmation yet.,Preserve as lead; seek additional same-spot reports and MVUM/legal-road confirmation.,,v23.1.82,"Good lead, not active-ready."
ar_ouachita_fr132_wilderness_boundary_lead,AR,FR132 Wilderness Boundary dispersed site,Ouachita NF,boondocking_social_app_lead,Boondocking / Dispersed,one_report_coordinate_lead,Medium,Public app + USFS rule check,Public app coordinate / one report only,One public-facing report at coordinate; not enough for active Community Reported status.,Seek 2+ additional independent same-spot reports or official road/site proof; verify MVUM/access and wilderness-boundary restrictions.,,v23.1.82,Do not promote from one report.
ar_brown_creek_cascade_dispersed_verification_lead,AR,Brown Creek Cascade Dispersed Campsite / Brown Creek Road area,Ouachita NF / Perry County,boondocking_social_app_verification,Boondocking / Dispersed,needs_same_spot_and_water_setback_verification,Medium,Public app/social + USFS rule check,WITHHELD / creek-trailhead-water-setback and proxy risk needs QA,"3 broad/same-area public reports exist, but exact site placement may be too close to creek/trailhead and must be checked against USFS 100-foot water-source rule and MVUM/legal-road access.",Verify with MVUM/aerial and collect same-spot evidence; do not active-add until exact point clears water/trailhead/proxy issues.,,v23.1.83,Distinct from broader Brown Creek Road / FR805 lead where useful.
ar_ouachita_fr132_winona_dispersed_corridor_lead,AR,Ouachita NF FR132 / Winona Scenic Drive dispersed corridor,Saline / Ouachita NF,boondocking_social_lead,Boondocking / Dispersed,community_official_rule_lead,Medium,,,"USFS dispersed framework exists and app/social road leads exist, but same-spot proof is thin and MVUM/access legality is not resolved.",Run Ouachita MVUM/legal-road check and collect 3+ same-spot overnight reports before any active dot.,,v23.1.79,
mo-w8-eagle-lodge-rv-park,MO,Eagle Lodge RV Park,Adair / Kirksville-La Plata,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious Kirksville-area private campground.,Add after coordinate rescue,,v23.1.70,
mo-lead-table-rock-big-m-usace-coordinate-rescue,MO,Big M Campground,Barry / Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong missing component,Coordinate rescue,,v23.1.70,
mo-lead-truman-berry-bend-usace-coordinate-rescue,MO,Berry Bend Campground,Benton / Truman Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Good add after coordinate rescue,"Extract exact campground point, then promote",,v23.1.70,
mo-lead-truman-long-shoal-usace-coordinate-rescue,MO,Long Shoal Campground,Benton / Truman Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-truman-osage-bluff-usace-coordinate-rescue,MO,Osage Bluff Campground,Benton / Truman Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-truman-shawnee-bend-usace-coordinate-rescue,MO,Shawnee Bend Campground,Benton / Truman Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not active-add from gateway alone unless facility page/coords are recovered,Coordinate/source rescue,,v23.1.70,
mo-lead-truman-thibaut-point-usace-coordinate-rescue,MO,Thibaut Point Campground,Benton / Truman Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-w8-cottonwoods-rv-park,MO,Cottonwoods RV Park,Boone / Columbia,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious Columbia-edge private campground.,Add after coordinate rescue,,v23.1.70,
mo-w8-cedar-creek-resort-rv,MO,Cedar Creek Resort & RV Park,Boone / Columbia edge,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator / tourism,NO HONEST ACTIVE COORDINATE ACCEPTED,Within Boone east/central edge.,Add after coordinate rescue,,v23.1.70,
mo-w8-red-maples-rv-community,MO,Red Maples Homes & RV Community,Callaway / Fulton,needs_verification,Needs Verification,needs_verification,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not import as campground without public-transient proof.,Verify or reject,,v23.1.70,
mo-lead-stockton-cedar-ridge-usace-coordinate-rescue,MO,Cedar Ridge Campground,Cedar / Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-stockton-crabtree-cove-usace-coordinate-rescue,MO,Crabtree Cove Campground,Cedar / Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-stockton-hawker-point-usace-coordinate-rescue,MO,Hawker Point Campground,Cedar / Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,"Good lead, but don’t active-add from gateway alone",Facility/coordinate rescue,,v23.1.70,
mo-lead-stockton-orleans-trail-usace-coordinate-rescue,MO,Orleans Trail Campground,Cedar / Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-needs-stockton-park-usace-component-type,MO,Stockton Park / Stockton Park component,Cedar / Stockton Lake,needs_verification,Needs Verification,needs_verification,Medium,Official federal / Recreation.gov gateway,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not active-add until component type is proven,Verify component,,v23.1.70,
mo-lead-smithville-smiths-fork-city-coordinate-rescue,MO,Smith’s Fork Campground,Clay / Smithville,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official city / Smithville,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong active candidate after coordinate rescue,Coordinate rescue,,v23.1.70,
mo-lead-smithville-camp-branch-coordinate-rescue,MO,Camp Branch Campground,Clay / Smithville Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official county + USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Huge missing campground system,Coordinate rescue,,v23.1.70,
mo-lead-smithville-crows-creek-coordinate-rescue,MO,Crow’s Creek Campground,Clay / Smithville Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official county + USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Huge missing campground system,Coordinate rescue,,v23.1.70,
mo-lead-stockton-ruark-bluff-east-usace-coordinate-rescue,MO,Ruark Bluff East Campground,Dade / Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,"Good lead, but source needs component detail before active add",Facility/coordinate rescue,,v23.1.70,
mo-lead-stockton-ruark-bluff-west-usace-coordinate-rescue,MO,Ruark Bluff West Campground,Dade / Stockton Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,"Good lead, but source needs component detail before active add",Facility/coordinate rescue,,v23.1.70,
mo-w8-pin-oak-rv-resort,MO,Pin Oak RV Resort / Pin Oak Creek RV Park,Franklin / Villa Ridge,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong private campground add.,Add after coordinate rescue,,v23.1.70,
mo-w8-hermann-city-park-campground,MO,Hermann City Park Campground,Gasconade / Hermann,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official city / tourism,NO HONEST ACTIVE COORDINATE ACCEPTED,Good Gasconade corridor municipal add.,Add after coordinate rescue,,v23.1.70,
mo-lead-truman-bucksaw-usace-coordinate-rescue,MO,Bucksaw Campground,Henry / Truman Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong component missing from MO,"Extract exact campground point, then promote",,v23.1.70,
mo-lead-truman-sparrowfoot-usace-coordinate-rescue,MO,Sparrowfoot Campground,Henry / Truman Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-pomme-damsite-usace-coordinate-rescue,MO,Damsite Campground,Hickory / Pomme de Terre Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-pomme-lightfoot-landing-usace-coordinate-rescue,MO,Lightfoot Landing Campground,Hickory / Pomme de Terre Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-correct-pomme-nemo-landing-usace-modern,MO,Nemo Landing Campground,Hickory / Pomme de Terre Lake,correction_candidate,Modern Campgrounds,correction_candidate,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,"Rename/retag: Nemo Landing, USACE, Modern Campgrounds",Correct active record source/layer/name; optionally coordinate-rescue,,v23.1.70,
mo-lead-pomme-outlet-park-usace-coordinate-rescue,MO,Outlet Park Campground,Hickory / Pomme de Terre Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-pomme-wheatland-park-usace-coordinate-rescue,MO,Wheatland Park Campground,Hickory / Pomme de Terre Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong add after coordinate rescue,Extract exact campground point,,v23.1.70,
mo-lead-jackson-blue-springs-lake-campground-coordinate-rescue,MO,Blue Springs Lake Campground,Jackson / Fleming Park,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official county / Jackson County Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Missing KC-edge county campground,Coordinate rescue,,v23.1.70,
mo-lead-jackson-lake-jacomo-campground-coordinate-rescue,MO,Lake Jacomo Campground,Jackson / Fleming Park,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official county / Jackson County Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Missing KC-edge county campground,Coordinate rescue,,v23.1.70,
mo-lead-jackson-longview-lake-campground-coordinate-rescue,MO,Longview Lake Campground,Jackson / Longview Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official county / Jackson County Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Missing KC-edge county campground,Coordinate rescue,,v23.1.70,
mo-lead-knob-noster-main-campground-coordinate-rescue,MO,Knob Noster State Park Campground,Johnson,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Surprisingly missing active state park campground,Coordinate rescue then add,,v23.1.70,
mo-w8-long-branch-2026-closure,MO,Long Branch State Park campground,Macon,correction_candidate,Modern Campgrounds,correction_candidate,Medium,Official Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not remove permanently; add 2026 closure status.,Update source/status wording in next revision,,v23.1.70,
mo-w8-bevier-rv-center-campground,MO,Bevier RV Center Campground,Macon / Bevier,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Public-facing RV dealer campground; add as private campground.,Add after coordinate rescue,,v23.1.70,
mo-w8-bayview-campers-park,MO,Bayview Campers Park,Marion / Hannibal,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious Hannibal private campground.,Add after coordinate rescue,,v23.1.70,
mo-w8-mark-twain-cave-campground,MO,Mark Twain Cave Campground,Marion / Hannibal,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator / state tourism,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious Hannibal-area campground.,Add after coordinate spot-check,,v23.1.70,
mo-w8-indian-creek-main,MO,"Indian Creek Campground, Mark Twain Lake",Monroe / Mark Twain Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official Recreation.gov / USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Separate hike-in primitive component should not be merged into only Modern.,Add main campground after coordinate rescue,,v23.1.70,
mo-w8-mark-twain-lake-jellystone,MO,Mark Twain Lake Jellystone Park / Mark Twain Landing,Monroe / Mark Twain Lake,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Distinct from Mark Twain State Park and USACE sites.,Add after coordinate spot-check,,v23.1.70,
mo-w8-hickory-ridge-campground,MO,Hickory Ridge Campground,Montgomery / Danville-Montgomery City,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious I-70 corridor private campground.,Add after coordinate rescue,,v23.1.70,
mo-w8-missouri-state-fairgrounds-public-campground,MO,Missouri State Fairgrounds Public/Main Campground,Pettis / Sedalia,out_of_scope_future_lead,Modern Campgrounds,future_lead,Medium,Official state fairgrounds,NO HONEST ACTIVE COORDINATE ACCEPTED,Park as future lead only.,Send to correct geography,,v23.1.70,
mo-w8-cozy-c-rv,MO,Cozy C Campground & RV Park,Pike / Bowling Green,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator / city,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious Bowling Green private campground.,Add after coordinate spot-check,,v23.1.70,
mo-w8-ray-behrens,MO,"Ray Behrens Campground, Mark Twain Lake",Ralls / Mark Twain Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official Recreation.gov / USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Import only after campground-loop coordinate rescue.,Add after coordinate rescue,,v23.1.70,
mo-w8-the-meadow-campground,MO,The Meadow Campground & Coffee House,Ralls / New London,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator / state tourism,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious US-61 corridor campground.,Add after coordinate rescue,,v23.1.70,
mo-w8-thompson-campground-moberly,MO,Thompson Campground at Rothwell Park,Randolph / Moberly,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official city,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong municipal campground add.,Add after coordinate rescue,,v23.1.70,
mo-lead-johnsons-shut-ins-sp-campground,MO,Johnson’s Shut-Ins State Park Campground,Reynolds / Middle Brook,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Big state-park miss,Add lead,,v23.1.70,
mo-w8-sundermeier-rv-park,MO,Sundermeier RV Park,St. Charles,coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,Obvious St. Charles campground.,Add after coordinate spot-check,,v23.1.70,
mo-w8-370-lakeside-park-rv,MO,370 Lakeside Park RV Campground,St. Charles / St. Peters,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official city / tourism,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong St. Louis fringe municipal add.,Add after coordinate rescue,,v23.1.70,
mo-w8-st-louis-west-route-66-koa,MO,St. Louis West / Historic Route 66 KOA Holiday,"St. Louis / Franklin edge, Eureka",coordinate_rescue,Private Campgrounds,coordinate_rescue,Medium,Operator,NO HONEST ACTIVE COORDINATE ACCEPTED,In St. Louis edge scope.,Add after coordinate spot-check,,v23.1.70,
mo-lead-hawn-state-park-campground,MO,Hawn State Park Campground,Ste. Genevieve,coordinate_rescue,Modern Campgrounds likely; verify,coordinate_rescue,Medium,Missouri State Parks,NO HONEST ACTIVE COORDINATE ACCEPTED,Do not use park office,Add lead,,v23.1.70,
mo-lead-table-rock-aunts-creek-usace-coordinate-rescue,MO,Aunts Creek Campground,Stone / Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong missing component,Coordinate rescue,,v23.1.70,
mo-lead-table-rock-baxter-usace-coordinate-rescue,MO,Baxter Campground,Stone / Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong missing component,Coordinate rescue,,v23.1.70,
mo-lead-table-rock-campbell-point-usace-coordinate-rescue,MO,Campbell Point Campground,Stone / Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong missing component,Coordinate rescue,,v23.1.70,
mo-lead-table-rock-cape-fair-usace-coordinate-rescue,MO,Cape Fair Campground,Stone / Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong missing component,Coordinate rescue,,v23.1.70,
mo-lead-table-rock-indian-point-usace-coordinate-rescue,MO,Indian Point Campground,Stone / Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official USACE,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong missing component,Coordinate rescue,,v23.1.70,
mo-lead-table-rock-mill-creek-usace-coordinate-rescue,MO,Mill Creek Campground,Stone / Table Rock Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Medium,Official federal / Recreation.gov,NO HONEST ACTIVE COORDINATE ACCEPTED,Strong missing component,Coordinate rescue,,v23.1.70,
